dist,TFA_r,AMA_r,AMA_r_filt,TFA_r_filt,d2x,d2y_AMA_r,d2y_AMA_r_filt
7150.0,-3.4322003128191434,6.689263326885235,5.932138732349283,-2.9932397193437845,7150.0,-0.0011474552154182311,-3.163638457017157e-05
7200.0,-2.7291020008618965,5.1168104175632205,6.018160590618109,-2.8127237946333183,7200.0,0.0011330819947351109,8.081255361397055e-06
7250.0,-2.316229008698281,6.377062495078984,6.124385587290428,-2.642677433107563,7250.0,-0.00037082996611905974,-5.140976769018835e-06
7300.0,-2.4307757313306486,6.710239657297097,6.2177581420402,-2.6740218804521456,7300.0,-0.00046223803343079553,-8.396698208584752e-06
7350.0,-3.389743859273067,5.887821735938222,6.29013895126851,-2.8550213892255405,7350.0,0.00038692508698613464,3.254249164669858e-05
7400.0,-2.596068076321959,6.032716532044684,6.4438759896135664,-3.014496726999566,7400.0,0.00041347936605566995,1.9652220892321992e-05
7450.0,-3.4221334034787017,7.21130974329032,6.646743580189428,-3.0459786866250336,7450.0,-0.0006951147932199046,-5.2195438510672073e-05
7500.0,-2.8239639982849694,6.652115971486195,6.719122574488609,-2.9263351677863665,7500.0,0.00021100187641620282,-7.766034875827756e-05
7550.0,-2.744184506776614,6.620426890722577,6.5973506968920965,-2.7109417770275064,7550.0,-5.0495734198954525e-05,-3.48938503948915e-05
7600.0,-2.43597456345398,6.462498474461572,6.388344193308355,-2.5112391894050914,7600.0,-0.00016412369975676172,2.421567196352967e-05
7650.0,-2.2740916855698714,5.894260808808664,6.239876869633438,-2.409999866402897,7650.0,0.0005362520035703174,6.244691171033096e-05
7700.0,-2.770093949066065,6.666653152081548,6.247526825234348,-2.4244754103437263,7700.0,-0.0006889906720376292,6.745263914613205e-05
7750.0,-2.2870735518730694,5.71656881526036,6.423808378700588,-2.573292446543552,7750.0,0.0010599234713617278,3.4651741695278204e-05
7800.0,-2.701687915373901,7.4162931568434916,6.686719286405024,-2.88814769761042,7800.0,-0.0009323184306877313,-4.400986209886426e-06
7850.0,-3.5282282969611,6.785221421707295,6.938627728584744,-3.296492290659631,7850.0,0.0003069751548281872,2.2484132483452156e-06
7900.0,-3.454450824000072,6.921587573641566,7.196157203885327,-3.604943705068389,7900.0,0.00019205361518526764,1.864170880649354e-05
7950.0,-4.408233452811876,7.538087763539006,7.500290951202143,-3.6722376681674618,7950.0,2.4245332212287352e-05,-5.437923131681543e-06
8000.0,-2.663065452798638,8.215201283967165,7.790829890689756,-3.5569169733138137,8000.0,-0.0004201834021171056,-1.0111285167166883e-05
8050.0,-3.865514959916093,7.84185629910256,8.056090617259452,-3.4149958440934536,8050.0,0.00012100231847729042,2.5513816941456114e-05
8100.0,-3.359352553984309,7.771017110431182,8.385135886182788,-3.324892370326309,8100.0,0.0007693751527050271,1.3279719715566074e-05
8150.0,-3.079378494257488,9.623615803522371,8.747380454395039,-3.3378311928761093,8150.0,-0.0011381668395455602,-4.083190255062803e-05
8200.0,-3.207397326774092,8.63079739774966,9.00754526623072,-3.4843175161079207,8200.0,0.0007073130647846228,-3.921212057285288e-05
8250.0,-4.416456179196599,9.406261653938506,9.169679776634268,-3.65621568040068,8250.0,-0.0005256386702333905,8.59936316012906e-06
8300.0,-3.586014793707579,8.867629234543875,9.35331269493814,-3.766516323449961,8300.0,0.0006480899796791214,2.2612997884396435e-05
8350.0,-3.278028954184011,9.949221764347048,9.593478107953002,-3.921858361956638,8350.0,-0.0005352259062443792,-7.556852348594845e-06
8400.0,-4.656223515532078,9.692749528539272,9.814751390096378,-4.184186156061805,8400.0,0.0004105191890870792,-2.0069884979624675e-05
8450.0,-4.442556289372947,10.462575265449194,9.985849959790691,-4.413529800853449,8450.0,-0.0007657113435293624,1.9288812520873933e-05
8500.0,-4.713203251528804,9.31812264353571,10.20517056078719,-4.511632596521066,8500.0,0.00113340352550605,4.394396704029404e-05
8550.0,-3.898194828593103,11.007178835387352,10.534351079384423,-4.547046569069957,8550.0,-0.0006833530172723457,3.769480404296388e-06
8600.0,-5.490762529884865,10.987852484058129,10.872955298992398,-4.598335709393717,8600.0,0.00011608406853664235,-2.2496168131825556e-05
8650.0,-4.180895754251608,11.258736304070512,11.155319098270809,-4.739157306758791,8650.0,-0.00022584304509903178,1.8491207154066558e-05
8700.0,-4.790947458256618,10.965012511335315,11.483910915434386,-5.088678243053982,8700.0,0.0006072332907843219,4.820301358268182e-05
8750.0,-5.72318371923406,12.189371945560923,11.933010266554668,-5.606933218086371,8750.0,-0.00032765847542294183,1.8888144766789593e-05
8800.0,-6.478512473103045,12.594585191229177,12.429329979591923,-6.02065055539248,8800.0,3.1945608031671216e-05,5.159692901427349e-06
8850.0,-6.39671806314264,13.079662456976608,12.938548924882747,-6.163755084216216,8850.0,-0.00025699499372022105,5.109925435824323e-05
8900.0,-5.570636997521151,12.922252238423487,13.57551600606918,-6.209658759622823,8900.0,0.0007229202536505781,6.901544656431255e-05
8950.0,-6.258962665624089,14.572142653996812,14.385021703666393,-6.400362628715396,8950.0,-0.00029224762741053995,-3.495854841392543e-06
9000.0,-7.127949010184812,15.491414001043786,15.185787764160125,-6.704121778816493,9000.0,-5.59430926288563e-05,-6.26993255061052e-05
9050.0,-7.348104263995533,16.27082761651862,15.829805510888594,-6.972674154392895,9050.0,-0.0005911145471038452,-3.3488000533409944e-06
9100.0,-6.72555908162686,15.57245486423384,16.46545125748371,-7.297804221840868,9100.0,0.001029638357067246,8.245229552268682e-05
9150.0,-7.401387489738639,17.448178004617176,17.307227742885544,-7.8811419006994,9150.0,-0.00012711345712538958,8.065335919847456e-05
9200.0,-9.761098569900172,19.00611750218704,18.350637626283564,-8.676393441070184,9200.0,-0.0007294737881570611,5.91690232185826e-05
9250.0,-8.843247849751908,18.740372529364247,19.54197006772804,-9.517879133982523,9250.0,0.0010359901803449405,6.197330032886441e-05
9300.0,-10.492724095194175,21.064603007403807,20.88823575999468,-10.390315225337684,9300.0,-0.00019340170933112262,3.290889658234732e-05
9350.0,-11.942977832855531,22.90532921211556,22.316773693717185,-11.363173325929903,9350.0,-0.000487646435464471,2.8100531845795728e-05
9400.0,-11.44220749933752,23.526939328166137,23.81556295705418,-12.530441532199536,9400.0,0.0004890087594799226,0.00011055588181338578
9450.0,-14.781856152559127,25.37107134291652,25.59074192492464,-13.953242685207313,9450.0,0.0002722067236974368,0.0001917644693164249
9500.0,-15.663310015220736,27.895720166910493,27.84533206608616,-15.613951561517688,9500.0,9.846901974584483e-05,0.00020412445234814952
9550.0,-17.39400298534043,30.66654154026908,30.610233338118057,-17.61890126571269,9550.0,0.00035027910966638274,0.00020717955941314728
9600.0,-20.45501740369234,34.31306068779362,33.89308350868282,-20.26618253507529,9600.0,-8.202164036813144e-05,0.0002888243198738792
9650.0,-24.351050997064988,37.75452573439784,37.89799447893228,-23.94282319997867,9650.0,0.0007196429133190151,0.00046188426246210665
9700.0,-29.211645092835766,42.99509806429959,43.05761610533701,-29.236042375972914,9700.0,0.0006211245902411634,0.0006582692632870163
